National,bothSexes,confLower,confHigher,men,confLower,confHigher,women,confLower,confHigher,Nyanza,bothSexes,confLower,confHigher,men,confLower,confHigher,women,confLower,confHigher,Western,bothSexes,confLower,confHigher,men,confLower,confHigher,women,confLower,confHigher
15-19,0.01,0.006,0.018,0.009,0.004,0.023,0.011,0.006,0.021,15-19,0.03,0.014,0.062,0.015,0.004,0.056,0.049,0.024,0.096,15-19,2.82E-12,2.24E-12,3.55E-12,2.83E-12,2.09E-12,3.82E-12,2.82E-12,2.27E-12,3.50E-12
20-24,0.031,0.023,0.041,0.013,0.006,0.029,0.046,0.034,0.061,20-24,0.099,0.068,0.142,0.029,0.008,0.101,0.141,0.089,0.216,20-24,0.03793253,0.01502483,0.09248708,0.02327681,0.004303408,0.1161448,0.04962233,0.02041522,0.1156802
25-29,0.063,0.05,0.079,0.043,0.026,0.071,0.079,0.063,0.1,25-29,0.231,0.161,0.321,0.211,0.1,0.39,0.245,0.168,0.344,25-29,0.04793185,0.0245659,0.09143904,0.02642691,0.006648767,0.09916585,0.06252135,0.03202606,0.1184996
30-34,0.066,0.054,0.081,0.066,0.048,0.091,0.066,0.049,0.088,30-34,0.221,0.16,0.297,0.239,0.153,0.354,0.205,0.128,0.312,30-34,0.06553459,0.03006574,0.1369389,0.07482838,0.02554878,0.1996826,0.05266548,0.0165329,0.1552961
35-39,0.087,0.069,0.109,0.05,0.034,0.075,0.123,0.097,0.154,35-39,0.242,0.162,0.346,0.195,0.111,0.322,0.281,0.182,0.407,35-39,0.1043156,0.04216566,0.2355443,0.04916642,0.007861967,0.252291,0.1397264,0.06307093,0.2815511
40-44,0.093,0.073,0.118,0.081,0.054,0.12,0.106,0.078,0.141,40-44,0.235,0.148,0.352,0.313,0.192,0.466,0.169,0.093,0.288,40-44,0.05534697,0.02374539,0.1236776,0.04553007,0.01133777,0.1655703,0.06346758,0.02509822,0.1513862
45-49,0.098,0.075,0.128,0.089,0.056,0.138,0.107,0.077,0.146,45-49,0.201,0.128,0.3,0.162,0.071,0.329,0.229,0.137,0.357,45-49,0.05859329,0.02667129,0.1238598,0.07989978,0.02846889,0.2046701,0.03842644,0.0121144,0.1152217
50-64,0.061,0.049,0.075,0.052,0.037,0.073,0.07,0.053,0.091,50-64,0.122,0.083,0.175,0.16,0.101,0.244,0.08,0.044,0.138,50-64,0.06636934,0.03927544,0.1100135,0.04707726,0.01677252,0.1251665,0.08219316,0.04324475,0.1506953
