year,number_on_art,PLWHIV,prop_of_hiv_onart
2004,29000,1.53E+06,0.0190
2005,65800,1.50E+06,0.0439
2006,125000,1.49E+06,0.0839
2007,177000,1.49E+06,0.1188
2008,250600,1.52E+06,0.1649
2009,337000,1.56E+06,0.2160
2010,432600,1.60E+06,0.2704
2011,539000,1.64E+06,0.3287
2012,604000,1.68E+06,0.3595
