age_group,male,female
15_19,9.99E-03,0.03683
20_24,0.01996,0.08292
25_29,0.07532,0.10827
30_34,0.08674,0.13727
35_39,0.09892,0.11747
40_44,0.10401,0.09718
45_49,0.06077,0.08128
50_54,0.07977,0.08075
55_59,0.02605,0.04923
60_64,0.03284,0.01674
